 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
1;100.966;0.785;14.210;0.386;0.299;135.082;10.034;1.003;0.997;1.000
2;5.806E-5;1.000;0.011;3.887;0.299;153.435;0.007;1.327;0.753;0.909
3;8.710E-5;0.354;0.027;8.834;0.299;174.806;0.005;5.531;0.181;0.811
4;1.916E-4;0.786;0.026;7.253;0.301;131.186;0.012;2.148;0.466;0.868
5;2.903E-5;1.000;0.009;10.243;0.308;56.310;0.005;1.553;0.644;0.909
6;3.484E-5;1.000;0.009;0.677;0.306;123.690;0.005;1.500;0.667;1.000
7;4.819E-4;0.482;0.047;6.010;0.328;23.962;0.019;3.407;0.294;0.725
8;0.006;0.607;0.146;10.123;0.352;173.346;0.064;2.365;0.423;0.906
9;8.129E-5;0.750;0.017;7.323;0.320;33.690;0.009;2.139;0.467;0.824
10;5.806E-6;1.000;0.003;10.236;0.311;135.000;0.002;1.000;1.000;1.000
11;6.968E-5;1.000;0.012;7.275;0.325;36.870;0.010;1.281;0.780;0.857
12;1.277E-4;0.659;0.023;7.289;0.323;161.565;0.007;3.435;0.291;0.898
13;1.742E-5;1.000;0.007;7.282;0.330;135.000;0.005;1.464;0.683;0.857
14;1.161E-4;0.925;0.016;2.940;0.335;116.565;0.010;1.417;0.706;0.930
15;5.226E-4;0.817;0.033;3.858;0.364;17.103;0.024;1.327;0.754;0.870
16;0.002;0.797;0.066;5.005;0.383;118.443;0.040;1.703;0.587;0.915
17;1.161E-5;1.000;0.005;4.147;0.388;153.435;0.002;2.000;0.500;1.000
18;5.806E-5;1.000;0.011;7.542;0.417;116.565;0.007;1.327;0.753;0.909
19;4.064E-5;1.000;0.009;10.243;0.431;123.690;0.007;1.069;0.936;0.875
20;5.806E-6;1.000;0.003;1.402;0.501;135.000;0.002;1.000;1.000;1.000
21;8.129E-5;0.696;0.017;0.822;0.506;123.690;0.009;2.234;0.448;0.800
22;0.001;0.549;0.055;10.065;0.547;34.380;0.050;1.035;0.966;0.750
23;8.129E-5;1.000;0.014;1.475;0.513;120.964;0.007;1.662;0.602;0.966
24;4.645E-5;1.000;0.011;6.118;0.525;116.565;0.005;2.000;0.500;1.000
25;5.574E-4;0.855;0.035;10.019;0.533;123.690;0.024;1.387;0.721;0.910
26;9.871E-5;1.000;0.014;8.976;0.542;30.964;0.010;1.263;0.792;0.919
27;5.806E-6;1.000;0.003;6.614;0.540;135.000;0.002;1.000;1.000;1.000
28;8.361E-4;0.824;0.044;8.969;0.576;22.380;0.027;1.671;0.599;0.897
29;0.001;0.906;0.050;10.041;0.561;129.094;0.041;1.136;0.880;0.929
30;1.045E-4;1.000;0.014;8.954;0.578;30.964;0.012;1.220;0.819;0.857
31;5.226E-4;0.351;0.053;2.557;0.593;15.945;0.019;3.362;0.297;0.677
32;4.645E-5;0.914;0.011;3.489;0.578;26.565;0.007;1.435;0.697;0.842
33;1.335E-4;1.000;0.015;9.072;0.581;38.660;0.012;1.132;0.884;0.885
34;5.226E-5;0.726;0.014;5.542;0.600;59.036;0.006;2.627;0.381;0.783
35;5.806E-6;1.000;0.003;3.508;0.590;135.000;0.002;1.000;1.000;1.000
36;0.001;0.918;0.045;5.651;0.634;53.746;0.038;1.167;0.857;0.922
37;9.871E-5;0.911;0.014;7.848;0.610;30.964;0.012;1.207;0.829;0.872
38;5.806E-6;1.000;0.003;7.130;0.607;135.000;0.002;1.000;1.000;1.000
39;7.374E-4;0.592;0.047;3.188;0.612;111.251;0.029;1.982;0.505;0.784
40;4.297E-4;1.000;0.027;2.578;0.622;116.565;0.022;1.124;0.890;0.943
41;1.742E-5;1.000;0.007;7.947;0.631;135.000;0.005;1.464;0.683;0.857
42;1.161E-5;1.000;0.005;7.718;0.639;116.565;0.002;2.000;0.500;1.000
43;3.484E-5;1.000;0.009;9.325;0.651;123.690;0.005;1.500;0.667;1.000
44;8.710E-5;0.869;0.015;6.855;0.667;38.660;0.009;1.914;0.522;0.833
45;8.129E-5;1.000;0.013;7.855;0.689;158.199;0.010;1.264;0.791;0.848
46;4.645E-5;0.740;0.013;5.424;0.694;111.801;0.005;2.392;0.418;0.889
47;1.742E-5;1.000;0.007;5.422;0.716;135.000;0.005;1.464;0.683;0.857
48;1.277E-4;1.000;0.015;10.212;0.728;38.660;0.012;1.101;0.908;0.936
49;2.787E-4;0.610;0.034;4.882;0.723;129.289;0.013;3.000;0.333;0.793
50;5.806E-6;1.000;0.003;5.458;0.725;135.000;0.002;1.000;1.000;1.000
